spygen_code,label,prediction,residual
SPY201956,0,0,0
SPY201965,0,0,0
SPY210667,0,0,0
SPY210668,0,0,0
SPY210669,0,0,0
SPY210672,0,0,0
SPY210673,0,0,0
SPY210674,0,0,0
SPY210675,0,0,0
SPY210677,0,0,0
SPY210678,0,0,0
SPY231748,0,3,-3
SPY231749,0,1,-1
SPY231754,0,0,0
SPY231755,0,0,0
SPY231756,0,0,0
SPY231757,0,0,0
SPY231774,0,0,0
SPY231775,0,0,0
SPY231776,0,0,0
SPY231777,0,0,0
SPY231778,0,0,0
SPY231779,0,0,0
SPY231897,0,0,0
SPY231898,0,0,0
SPY232832,0,0,0
SPY223325,0,0,0
SPY223333,0,0,0
SPY224252,0,0,0
SPY224256,0,0,0
SPY201160,0,0,0
SPY201167,0,0,0
SPY201169,0,0,0
SPY201171,0,0,0
SPY201185,0,0,0
SPY202494,0,1,-1
SPY202506,0,0,0
SPY202509,0,2,-2
SPY202514,0,0,0
SPY210643,0,0,0
SPY210644,0,1,-1
SPY210648,0,0,0
SPY210651,0,0,0
SPY210658,0,0,0
SPY210659,0,0,0
SPY210663,0,0,0
SPY210665,0,0,0
SPY210670,0,0,0
SPY210671,0,0,0
SPY210676,0,0,0
SPY210679,0,0,0
SPY210683,0,0,0
SPY211266,0,0,0
SPY211273,0,0,0
SPY211277,0,0,0
SPY211280,0,0,0
SPY211286,0,0,0
SPY211300,0,0,0
SPY211302,0,0,0
SPY231727,0,0,0
SPY231728,0,0,0
SPY231729,0,1,-1
SPY231730,0,0,0
SPY231889,0,0,0
SPY231890,0,0,0
SPY211068,0,0,0
SPY211073,0,1,-1
SPY231745,0,0,0
SPY231746,0,1,-1
SPY231747,0,0,0
SPY231909,1,0,1
SPY231910,1,0,1
SPY231750,2,0,2
SPY231751,2,0,2
SPY231752,2,0,2
SPY231753,2,0,2
SPY231731,3,1,2
SPY231732,3,1,2
SPY231758,3,0,3
SPY231759,3,1,2
SPY201175,3,1,2
SPY201191,3,1,2
SPY202496,3,1,2
SPY202498,3,1,2
