spygen_code,label,prediction,residual,domain_true,domain_pred,domain_correct
SPY231762,0,0,0,3,3,1
SPY231763,0,2,-2,3,3,1
SPY231764,0,1,-1,3,3,1
SPY231765,0,0,0,3,3,1
SPY231766,0,0,0,3,3,1
SPY231767,0,0,0,3,3,1
SPY231768,0,0,0,3,3,1
SPY231769,0,0,0,3,3,1
SPY231770,0,0,0,3,3,1
SPY231771,0,1,-1,3,3,1
SPY231772,0,0,0,3,3,1
SPY231773,0,0,0,3,3,1
SPY231899,0,1,-1,0,3,0
SPY231900,0,1,-1,0,3,0
SPY231901,0,0,0,1,1,1
SPY231902,0,0,0,1,1,1
SPY223325,0,1,-1,0,1,0
SPY223333,0,1,-1,0,1,0
SPY224252,0,0,0,0,1,0
SPY224256,0,0,0,0,1,0
SPY201164,0,0,0,1,1,1
SPY201958,0,0,0,2,3,0
SPY202493,0,0,0,1,1,1
SPY202510,0,0,0,1,1,1
SPY202515,0,0,0,1,1,1
SPY210646,0,0,0,2,1,0
SPY210681,0,0,0,1,1,1
SPY210682,0,0,0,1,1,1
SPY210684,0,0,0,1,1,1
SPY210685,0,0,0,1,1,1
SPY210686,0,0,0,1,1,1
SPY210687,0,0,0,1,1,1
SPY210688,0,0,0,1,1,1
SPY210690,0,0,0,1,1,1
SPY210691,0,0,0,1,1,1
SPY210692,0,0,0,1,1,1
SPY210694,0,0,0,1,1,1
SPY211301,0,0,0,2,1,0
SPY211310,0,0,0,2,2,1
SPY231885,0,0,0,0,0,1
SPY231886,0,0,0,0,0,1
SPY211069,0,0,0,0,2,0
SPY211070,0,0,0,0,0,1
SPY211071,0,1,-1,1,1,1
SPY211072,0,0,0,1,1,1
SPY231691,1,0,1,3,1,0
SPY231692,1,0,1,3,1,0
SPY231693,1,0,1,3,1,0
SPY231694,1,0,1,3,3,1
SPY231913,1,0,1,1,1,1
SPY231914,1,1,0,1,1,1
SPY201239,2,1,1,2,2,1
SPY201241,2,1,1,2,2,1
SPY201174,2,0,2,1,1,1
SPY201181,2,0,2,1,1,1
SPY201187,2,0,2,1,1,1
SPY201192,2,0,2,1,1,1
SPY201198,2,0,2,1,1,1
SPY202491,2,0,2,1,1,1
SPY202495,2,0,2,1,1,1
SPY202500,2,0,2,1,1,1
SPY231683,2,0,2,3,3,1
SPY231684,2,0,2,3,3,1
SPY231685,2,0,2,3,3,1
SPY231686,2,1,1,3,3,1
SPY231687,2,1,1,3,3,1
SPY231688,2,0,2,3,3,1
SPY231689,2,0,2,3,3,1
SPY231690,2,0,2,3,3,1
SPY231760,4,0,4,3,1,0
SPY231761,4,0,4,3,3,1
SPY231887,4,1,3,1,1,1
SPY231888,4,0,4,1,1,1
