spygen_code,label,prediction,residual,domain_true,domain_pred,domain_correct
SPY231762,0,0,0,10,10,1
SPY231763,0,0,0,10,6,0
SPY231764,0,0,0,10,6,0
SPY231765,0,0,0,10,10,1
SPY231766,0,0,0,10,10,1
SPY231767,0,0,0,10,10,1
SPY231768,0,0,0,10,2,0
SPY231769,0,0,0,10,10,1
SPY231770,0,0,0,10,10,1
SPY231771,0,0,0,10,2,0
SPY231772,0,0,0,10,10,1
SPY231773,0,0,0,10,2,0
SPY231899,0,0,0,0,10,0
SPY231900,0,0,0,0,10,0
SPY231901,0,0,0,2,2,1
SPY231902,0,0,0,2,2,1
SPY223325,0,0,0,9,2,0
SPY223333,0,0,0,9,2,0
SPY224252,0,0,0,9,2,0
SPY224256,0,0,0,9,2,0
SPY201164,0,0,0,2,2,1
SPY201958,0,0,0,6,2,0
SPY202493,0,0,0,2,2,1
SPY202510,0,0,0,2,10,0
SPY202515,0,0,0,2,2,1
SPY210646,0,0,0,6,2,0
SPY210681,0,0,0,2,10,0
SPY210682,0,0,0,2,10,0
SPY210684,0,0,0,2,10,0
SPY210685,0,0,0,2,10,0
SPY210686,0,0,0,2,10,0
SPY210687,0,0,0,2,10,0
SPY210688,0,0,0,2,10,0
SPY210690,0,0,0,2,10,0
SPY210691,0,0,0,2,10,0
SPY210692,0,0,0,2,10,0
SPY210694,0,0,0,2,10,0
SPY211301,0,0,0,6,2,0
SPY211310,0,0,0,6,2,0
SPY231885,0,0,0,0,10,0
SPY231886,0,0,0,0,2,0
SPY211069,0,0,0,0,6,0
SPY211070,0,0,0,0,10,0
SPY211071,0,0,0,2,10,0
SPY211072,0,0,0,2,10,0
SPY231691,1,0,1,10,10,1
SPY231692,1,0,1,10,10,1
SPY231693,1,0,1,10,10,1
SPY231694,1,0,1,10,10,1
SPY231913,1,0,1,2,2,1
SPY231914,1,0,1,2,2,1
SPY201239,2,1,1,6,6,1
SPY201241,2,2,0,6,6,1
SPY201174,2,0,2,4,2,0
SPY201181,2,1,1,4,2,0
SPY201187,2,1,1,4,2,0
SPY201192,2,1,1,4,2,0
SPY201198,2,1,1,4,2,0
SPY202491,2,0,2,4,10,0
SPY202495,2,1,1,4,2,0
SPY202500,2,0,2,4,2,0
SPY231683,2,2,0,10,6,0
SPY231684,2,2,0,10,6,0
SPY231685,2,2,0,10,6,0
SPY231686,2,2,0,10,6,0
SPY231687,2,2,0,10,6,0
SPY231688,2,2,0,10,6,0
SPY231689,2,2,0,10,6,0
SPY231690,2,2,0,10,6,0
SPY231760,4,4,0,10,10,1
SPY231761,4,4,0,10,10,1
SPY231887,4,4,0,2,6,0
SPY231888,4,4,0,2,6,0
