spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201963,0,0,0,1.717919695387593e-09,2,4,0
SPY201966,0,0,0,7.686177805332761e-10,2,4,0
SPY210636,0,0,0,1.2742404353893733e-10,2,4,0
SPY210640,0,0,0,1.7381623917955835e-10,2,4,0
SPY210641,0,0,0,4.911231421544926e-10,10,2,0
SPY210642,0,0,0,1.7050754195224727e-06,10,2,0
SPY210696,0,0,0,0.000849053030833602,2,10,0
SPY210697,0,0,0,0.0008095437660813332,2,10,0
SPY210698,0,0,0,0.006253906525671482,2,10,0
SPY210699,0,0,0,0.0007113052415661514,2,10,0
SPY210705,0,0,0,0.005700845271348953,2,10,0
SPY210710,0,0,0,0.0010227091843262315,2,10,0
SPY210712,0,0,0,0.0017581466818228364,2,10,0
SPY210713,0,0,0,0.0013198659289628267,2,10,0
SPY210714,0,0,0,0.00577988987788558,2,10,0
SPY210717,0,0,0,0.011377369984984398,2,10,0
SPY210718,0,0,0,0.007314707152545452,2,10,0
SPY210719,0,0,0,0.002176671288907528,2,10,0
SPY210720,0,0,0,0.009215851314365864,2,10,0
SPY210721,0,0,0,0.004819588735699654,2,10,0
SPY210722,0,0,0,0.010509897954761982,2,10,0
SPY210723,0,0,0,1.7939747465334221e-09,2,2,1
SPY210724,0,0,0,0.005189365707337856,2,10,0
SPY210727,0,0,0,0.014399643056094646,2,10,0
SPY210728,0,0,0,0.025629067793488503,2,10,0
SPY222967,0,0,0,6.114796633482911e-07,6,2,0
SPY222969,0,0,0,3.222403677227703e-08,6,4,0
SPY222977,0,0,0,6.5618787630228326e-06,6,2,0
SPY231711,0,0,0,2.3987774966371944e-06,10,2,0
SPY231712,0,0,0,6.90757531174313e-07,10,2,0
SPY231735,0,0,0,1.096653136301029e-06,10,2,0
SPY231736,0,0,0,1.326304754911689e-06,10,2,0
SPY231737,0,0,0,0.00018682850350160152,10,2,0
SPY231738,0,0,0,8.109049667837098e-05,10,2,0
SPY231739,0,0,0,1.2476124538807198e-05,10,2,0
SPY231740,0,0,0,1.128246913140174e-05,10,2,0
SPY231780,0,0,0,1.0727095878237947e-09,10,4,0
SPY231781,0,0,0,0.001114583108574152,10,2,0
SPY231782,0,0,0,0.00022258839453570545,10,2,0
SPY231783,0,0,0,0.0003273123875260353,10,2,0
SPY231784,0,0,0,0.0009947995422407985,10,2,0
SPY231785,0,0,0,0.001008177874609828,10,2,0
SPY231786,0,0,0,0.006208066362887621,10,10,1
SPY231787,0,0,0,0.0006372835487127304,10,2,0
SPY231788,0,0,0,0.0007582096732221544,10,10,1
SPY231789,0,0,0,0.00048634741688147187,10,2,0
SPY231790,0,0,0,0.00361362611874938,10,2,0
SPY231791,0,0,0,0.0016183494590222836,10,2,0
SPY231792,0,0,0,0.09201376140117645,10,10,1
SPY231793,0,0,0,0.002078833756968379,10,2,0
SPY231795,0,0,0,0.0003568751853890717,10,2,0
SPY231895,0,0,0,2.3305595675537916e-07,2,4,0
SPY231896,0,0,0,3.1985993587113626e-07,2,4,0
SPY231903,0,0,0,4.201845271722959e-08,0,4,0
SPY231904,0,0,0,5.324928338268364e-07,0,2,0
SPY231905,0,0,0,3.650052576631424e-06,2,4,0
SPY231906,0,0,0,0.006711961235851049,2,2,1
SPY232830,0,0,0,1.3205822142481338e-06,2,4,0
SPY232831,0,0,0,0.002371228300035,2,2,1
SPY201168,0,0,0,0.00034327839966863394,10,2,0
SPY201170,0,0,0,0.0011932520428672433,10,2,0
SPY201172,0,0,0,0.0029434366151690483,6,2,0
SPY201185,0,0,0,0.002221306087449193,6,2,0
SPY210645,0,0,0,1.9507719116518274e-05,2,2,1
SPY210657,0,0,0,0.10709632933139801,2,10,0
SPY210661,0,0,0,0.2669900059700012,2,10,0
SPY210662,0,0,0,0.09897894412279129,2,2,1
SPY211268,0,0,0,0.05594818294048309,6,2,0
SPY211274,0,0,0,0.07258032262325287,2,2,1
SPY211278,0,0,0,0.4591110050678253,2,10,0
SPY211305,0,0,0,0.34944507479667664,6,10,0
SPY231891,0,0,0,0.19377361238002777,0,4,0
SPY231892,0,0,0,0.27197301387786865,0,4,0
SPY231741,0,0,0,0.4872431457042694,10,10,1
SPY231742,0,0,0,0.4587421715259552,10,10,1
SPY231743,0,1,1,0.578004777431488,10,10,1
SPY231744,0,1,1,0.574568510055542,10,10,1
SPY231865,0,1,1,0.6034618020057678,10,10,1
SPY231870,0,1,1,0.9651368856430054,10,10,1
SPY231871,0,1,1,0.6529890298843384,10,10,1
SPY231873,0,1,1,0.9007136821746826,10,10,1
SPY231874,0,1,1,0.8784895539283752,10,10,1
SPY231877,0,1,1,0.9378077983856201,10,10,1
SPY231878,0,1,1,0.910635769367218,10,10,1
SPY231909,1,1,0,0.9900272488594055,0,6,0
SPY231910,1,1,0,0.9409046173095703,0,10,0
SPY210650,1,1,0,0.9790944457054138,2,6,0
SPY201216,1,1,0,0.9999732971191406,1,6,0
SPY201263,1,1,0,0.9999176263809204,1,6,0
SPY210655,1,1,0,0.9951156377792358,2,6,0
SPY210656,1,1,0,0.9530675411224365,2,10,0
SPY210660,1,1,0,0.9315125942230225,2,10,0
SPY231733,1,1,0,0.9999860525131226,10,6,0
SPY231734,1,1,0,0.9813101291656494,10,10,1
SPY222970,1,1,0,0.9998143315315247,6,6,1
SPY222972,1,1,0,0.9998074173927307,6,6,1
SPY222973,1,1,0,0.9981974959373474,6,10,0
SPY222974,1,1,0,0.9996378421783447,6,10,0
SPY181149,1,1,0,0.9987469911575317,6,10,0
SPY181150,1,1,0,0.9991042017936707,6,10,0
SPY231893,1,1,0,0.9868355989456177,0,6,0
SPY231894,1,1,0,0.988278329372406,0,6,0
SPY201175,1,1,0,0.9995224475860596,4,6,0
SPY201191,1,1,0,0.9999692440032959,4,6,0
SPY202496,1,1,0,0.9999791383743286,4,6,0
SPY202498,1,1,0,0.9999717473983765,4,6,0
