spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201149,0,0,0,6.760373372216577e-10,4,2,0
SPY201151,0,0,0,2.3924523473439763e-10,4,2,0
SPY201176,0,0,0,2.7294314378090156e-11,4,2,0
SPY201177,0,0,0,1.3551554323143478e-09,4,2,0
SPY201179,0,0,0,2.5532976774544913e-11,4,2,0
SPY201193,0,0,0,5.295014982031887e-10,4,2,0
SPY201956,0,0,0,0.00030025345040485263,2,2,1
SPY201965,0,0,0,0.00024596278672106564,2,2,1
SPY202492,0,0,0,1.1035747836396492e-11,4,2,0
SPY202499,0,0,0,1.8622657235733975e-11,4,2,0
SPY210647,0,0,0,0.005359189584851265,2,2,1
SPY210652,0,0,0,0.011653647758066654,2,10,0
SPY210667,0,0,0,0.006803785916417837,2,10,0
SPY210668,0,0,0,0.013201038353145123,2,10,0
SPY210669,0,0,0,0.00036077055847272277,2,2,1
SPY210672,0,0,0,0.0009012754890136421,2,2,1
SPY210673,0,0,0,0.00045184441842138767,2,2,1
SPY210674,0,0,0,0.00044920964865013957,2,2,1
SPY210675,0,0,0,0.011464246548712254,2,10,0
SPY210677,0,0,0,0.002077837008982897,2,2,1
SPY210678,0,0,0,8.545750461053103e-05,2,2,1
SPY210695,0,0,0,0.0027254894375801086,2,2,1
SPY210700,0,0,0,7.148413805335707e-11,2,2,1
SPY210715,0,0,0,0.02034958451986313,2,10,0
SPY231655,0,0,0,1.3817854778608307e-05,10,2,0
SPY231656,0,0,0,1.3246147318568546e-05,10,2,0
SPY231657,0,0,0,0.00022897799499332905,10,2,0
SPY231658,0,0,0,5.694320861948654e-06,10,2,0
SPY231659,0,0,0,3.525043575791642e-05,10,2,0
SPY231665,0,0,0,2.101880636473652e-05,10,2,0
SPY231666,0,0,0,4.9544969442649744e-06,10,2,0
SPY231667,0,0,0,1.9036098137803492e-06,10,2,0
SPY231668,0,0,0,4.9542040869710036e-06,10,2,0
SPY231705,0,0,0,6.936198769835755e-05,10,2,0
SPY231706,0,0,0,0.0005939631373621523,10,2,0
SPY231707,0,0,0,0.00014093871868681163,10,2,0
SPY231708,0,0,0,0.00020692675025202334,10,2,0
SPY231709,0,0,0,3.790352639043704e-05,10,2,0
SPY231710,0,0,0,1.9843753761961125e-05,10,2,0
SPY231774,0,0,0,0.0003432316007092595,10,2,0
SPY231775,0,0,0,0.00032391416607424617,10,2,0
SPY231776,0,0,0,2.7367308419457004e-10,10,2,0
SPY231777,0,0,0,0.00011147064651595429,10,2,0
SPY231778,0,0,0,0.00012551297550089657,10,2,0
SPY231779,0,0,0,0.00010728335473686457,10,2,0
SPY231794,0,0,0,0.00014702211774419993,10,2,0
SPY231796,0,0,0,0.0006325156427919865,10,2,0
SPY231797,0,0,0,0.0009917713468894362,10,2,0
SPY231798,0,0,0,0.04481961950659752,10,2,0
SPY231907,0,0,0,0.00010818421287694946,2,2,1
SPY231908,0,0,0,0.01409213338047266,2,2,1
SPY231915,0,0,0,0.0008412002352997661,2,2,1
SPY231916,0,0,0,0.00010121676314156502,2,2,1
SPY232832,0,0,0,2.9299941161298193e-05,2,2,1
SPY232833,0,0,0,1.220156264025718e-06,2,2,1
SPY232834,0,0,0,0.03928997740149498,2,2,1
SPY232835,0,0,0,0.026666179299354553,2,2,1
SPY201169,0,0,0,0.00023263136972673237,2,2,1
SPY202506,0,0,0,0.011324116960167885,2,2,1
SPY202509,0,0,0,0.0009705917327664793,2,2,1
SPY202514,0,0,0,0.0005140831344760954,2,2,1
SPY210676,0,0,0,0.24648597836494446,2,10,0
SPY210679,0,0,0,0.22180034220218658,2,10,0
SPY210680,0,0,0,0.21187642216682434,2,10,0
SPY210683,0,0,0,0.18270915746688843,2,10,0
SPY211262,0,0,0,0.31740736961364746,6,10,0
SPY211273,0,0,0,0.00024159760505426675,6,2,0
SPY211277,0,0,0,0.00018205908418167382,6,2,0
SPY211311,0,0,0,0.3695785403251648,6,10,0
SPY231695,1,1,0,0.8369605541229248,10,10,1
SPY231696,1,1,0,0.8156288862228394,10,10,1
SPY231703,1,1,0,0.8759146928787231,10,10,1
SPY231704,1,1,0,0.8820405602455139,10,10,1
SPY231669,1,1,0,0.9825509190559387,10,6,0
SPY231670,1,1,0,0.9830864667892456,10,6,0
SPY231697,1,1,0,0.9297541975975037,10,6,0
SPY231698,1,1,0,0.9628140330314636,10,6,0
SPY201150,1,1,0,0.9972602128982544,4,6,0
SPY201152,1,1,0,0.8993527293205261,4,10,0
SPY201157,1,1,0,0.987034261226654,4,6,0
SPY201158,1,1,0,0.9982306361198425,4,6,0
SPY231699,1,1,0,0.9700901508331299,10,6,0
SPY231700,1,1,0,0.8385502696037292,10,10,1
SPY231701,1,1,0,0.9706205129623413,10,6,0
SPY231702,1,1,0,0.9180681109428406,10,6,0
SPY231911,1,1,0,0.982302188873291,0,6,0
SPY231912,1,1,0,0.9080525636672974,0,10,0
SPY200806,1,1,0,0.981285572052002,6,6,1
SPY200807,1,1,0,0.9881101846694946,6,6,1
SPY231660,1,1,0,0.998030960559845,10,6,0
SPY231661,1,1,0,0.9987254738807678,10,6,0
SPY231662,1,1,0,0.9793522953987122,10,6,0
SPY231663,1,1,0,0.970487117767334,10,6,0
SPY231664,1,1,0,0.9497718214988708,10,10,1
