spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201149,0,0,0,9.022751328302547e-07,4,10,0
SPY201151,0,0,0,1.2805659821424342e-07,4,10,0
SPY201176,0,0,0,3.472877097010496e-08,4,10,0
SPY201177,0,0,0,1.1641947139651165e-06,4,10,0
SPY201179,0,0,0,6.728246404463789e-08,4,2,0
SPY201193,0,0,0,5.437290724330524e-07,4,10,0
SPY201956,0,0,0,0.002995565999299288,2,10,0
SPY201965,0,0,0,0.0026808453258126974,2,10,0
SPY202492,0,0,0,2.1423257834385367e-08,4,2,0
SPY202499,0,0,0,2.0207872708510877e-08,4,10,0
SPY210647,0,0,0,0.030780300498008728,2,10,0
SPY210652,0,0,0,0.0444454550743103,2,10,0
SPY210667,0,0,0,0.045260943472385406,2,10,0
SPY210668,0,0,0,0.04919629916548729,2,10,0
SPY210669,0,0,0,0.004831479862332344,2,10,0
SPY210672,0,0,0,0.014308595098555088,2,10,0
SPY210673,0,0,0,0.005780120380222797,2,10,0
SPY210674,0,0,0,0.005573840346187353,2,10,0
SPY210675,0,0,0,0.04750439152121544,2,10,0
SPY210677,0,0,0,0.01741521991789341,2,10,0
SPY210678,0,0,0,0.001176042715087533,2,10,0
SPY210695,0,0,0,0.02320786751806736,2,10,0
SPY210700,0,0,0,3.0097280223628786e-09,2,10,0
SPY210715,0,0,0,0.0705077201128006,2,10,0
SPY231655,0,0,0,0.00042076889076270163,10,2,0
SPY231656,0,0,0,0.00044462463119998574,10,2,0
SPY231657,0,0,0,0.003422751324251294,10,2,0
SPY231658,0,0,0,0.00021174114954192191,10,2,0
SPY231659,0,0,0,0.0009556327131576836,10,2,0
SPY231665,0,0,0,0.00047015794552862644,10,2,0
SPY231666,0,0,0,0.00015100046584848315,10,2,0
SPY231667,0,0,0,6.173797009978443e-05,10,2,0
SPY231668,0,0,0,0.0001071249062079005,10,2,0
SPY231705,0,0,0,0.0009925492340698838,10,10,1
SPY231706,0,0,0,0.0014296071603894234,10,10,1
SPY231707,0,0,0,0.0005112328217364848,10,10,1
SPY231708,0,0,0,0.0006390476482920349,10,10,1
SPY231709,0,0,0,0.0009114149725064635,10,10,1
SPY231710,0,0,0,0.0004012065182905644,10,10,1
SPY231774,0,0,0,0.004514873493462801,10,2,0
SPY231775,0,0,0,0.004949810449033976,10,2,0
SPY231776,0,0,0,8.814960494873958e-08,10,2,0
SPY231777,0,0,0,0.002168864943087101,10,10,1
SPY231778,0,0,0,0.0017932250630110502,10,10,1
SPY231779,0,0,0,0.0017446645069867373,10,10,1
SPY231794,0,0,0,0.002457481110468507,10,2,0
SPY231796,0,0,0,0.0034082280471920967,10,2,0
SPY231797,0,0,0,0.004262399859726429,10,2,0
SPY231798,0,0,0,0.11142349988222122,10,10,1
SPY231907,0,0,0,0.00030003456049598753,2,10,0
SPY231908,0,0,0,0.016771581023931503,2,10,0
SPY231915,0,0,0,0.0023529597092419863,2,10,0
SPY231916,0,0,0,0.0006553330458700657,2,10,0
SPY232832,0,0,0,0.00024291234149131924,2,10,0
SPY232833,0,0,0,0.00015977323346305639,2,2,1
SPY232834,0,0,0,0.0767974853515625,2,10,0
SPY232835,0,0,0,0.058026429265737534,2,2,1
SPY201169,0,0,0,0.01579074002802372,2,6,0
SPY202506,0,0,0,0.055756375193595886,2,10,0
SPY202509,0,0,0,0.016378046944737434,2,10,0
SPY202514,0,0,0,0.014306954108178616,2,10,0
SPY210676,0,0,0,0.37661418318748474,2,10,0
SPY210679,0,0,0,0.2834641933441162,2,10,0
SPY210680,0,0,0,0.2754296362400055,2,10,0
SPY210683,0,0,0,0.3296874761581421,2,10,0
SPY211262,0,0,0,0.38667380809783936,6,10,0
SPY211273,0,0,0,0.000707968429196626,6,2,0
SPY211277,0,0,0,0.000518568092957139,6,2,0
SPY211311,0,1,1,0.5103140473365784,6,10,0
SPY231695,1,1,0,0.9028849005699158,10,10,1
SPY231696,1,1,0,0.8878269195556641,10,10,1
SPY231703,1,1,0,0.9060373306274414,10,6,0
SPY231704,1,1,0,0.9109577536582947,10,6,0
SPY231669,1,1,0,0.9649791121482849,10,6,0
SPY231670,1,1,0,0.9675458669662476,10,6,0
SPY231697,1,1,0,0.9339927434921265,10,6,0
SPY231698,1,1,0,0.9562934637069702,10,6,0
SPY201150,1,1,0,0.998955488204956,4,6,0
SPY201152,1,1,0,0.941036581993103,4,10,0
SPY201157,1,1,0,0.9955703616142273,4,6,0
SPY201158,1,1,0,0.9993808269500732,4,6,0
SPY231699,1,1,0,0.9568895697593689,10,6,0
SPY231700,1,1,0,0.8969351053237915,10,10,1
SPY231701,1,1,0,0.9532124400138855,10,6,0
SPY231702,1,1,0,0.936225414276123,10,6,0
SPY231911,1,1,0,0.9960582256317139,0,6,0
SPY231912,1,1,0,0.963879406452179,0,10,0
SPY200806,1,1,0,0.9956592917442322,6,6,1
SPY200807,1,1,0,0.9970749616622925,6,6,1
SPY231660,1,1,0,0.9958727955818176,10,6,0
SPY231661,1,1,0,0.997058629989624,10,6,0
SPY231662,1,1,0,0.9887697696685791,10,6,0
SPY231663,1,1,0,0.9873718023300171,10,6,0
SPY231664,1,1,0,0.9799351096153259,10,6,0
