spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201957,0,0,0,3.386045888120748e-09,2,2,1
SPY201964,0,0,0,4.052697732959132e-09,2,2,1
SPY210701,0,0,0,3.6454288476761576e-08,2,2,1
SPY210702,0,0,0,3.143377114156465e-08,2,2,1
SPY210703,0,0,0,2.9383331323629136e-08,2,2,1
SPY210704,0,0,0,4.079860005390401e-08,2,2,1
SPY210706,0,0,0,2.0388213783917308e-07,2,2,1
SPY210707,0,0,0,4.485707449930487e-08,2,2,1
SPY210708,0,0,0,4.944546816432194e-08,2,2,1
SPY210709,0,0,0,6.020059117872734e-08,2,2,1
SPY210711,0,0,0,7.158684667274429e-08,2,2,1
SPY210716,0,0,0,7.916176514299877e-08,2,2,1
SPY210725,0,0,0,2.6659392915462377e-07,2,2,1
SPY210726,0,0,0,2.6146895493184275e-07,2,2,1
SPY231748,0,0,0,2.452778744554962e-07,10,10,1
SPY231749,0,0,0,9.74117483565351e-07,10,2,0
SPY231754,0,0,0,1.6483928675370407e-06,10,2,0
SPY231755,0,0,0,3.5172488423995674e-06,10,2,0
SPY231756,0,0,0,2.2484457531390944e-06,10,2,0
SPY231757,0,0,0,2.9162008559069363e-06,10,2,0
SPY231897,0,0,0,4.184608405921608e-05,0,2,0
SPY231898,0,0,0,5.449773379950784e-05,0,2,0
SPY201159,0,0,0,5.182484528631903e-05,7,10,0
SPY201160,0,0,0,0.001210545189678669,5,10,0
SPY201161,0,0,0,0.0029291429091244936,4,2,0
SPY201166,0,0,0,0.00021394871873781085,7,10,0
SPY201167,0,0,0,0.002507912227883935,5,10,0
SPY201171,0,0,0,0.00035971999750472605,5,10,0
SPY201180,0,0,0,0.0007068139966577291,7,10,0
SPY201186,0,0,0,0.0007779229199513793,7,10,0
SPY201190,0,0,0,0.003912815824151039,4,10,0
SPY202494,0,0,0,0.0029157998505979776,5,10,0
SPY210643,0,0,0,0.003578880801796913,2,2,1
SPY210644,0,0,0,0.004944505635648966,2,2,1
SPY210648,0,0,0,0.007484369911253452,2,10,0
SPY210651,0,0,0,0.00615464523434639,10,2,0
SPY210658,0,0,0,0.002752778586000204,2,2,1
SPY210659,0,0,0,0.0025064062792807817,2,2,1
SPY210663,0,0,0,0.004909294191747904,2,2,1
SPY210664,0,0,0,0.02760486491024494,2,10,0
SPY210665,0,0,0,0.002212552586570382,2,2,1
SPY210666,0,0,0,0.0050828526727855206,2,2,1
SPY210670,0,0,0,0.006558549124747515,2,2,1
SPY210671,0,0,0,0.005565383937209845,2,2,1
SPY210689,0,0,0,0.007752979639917612,2,2,1
SPY210693,0,0,0,0.008300519548356533,2,2,1
SPY211263,0,0,0,0.009947148151695728,7,10,0
SPY211266,0,0,0,0.15873412787914276,2,10,0
SPY211275,0,0,0,0.031296469271183014,6,10,0
SPY211279,0,0,0,0.4548802077770233,6,6,1
SPY211280,0,0,0,0.007884110324084759,2,10,0
SPY211282,0,1,1,0.5222027897834778,6,6,1
SPY211284,0,1,1,0.5917450785636902,6,6,1
SPY211285,0,0,0,0.1575050801038742,2,10,0
SPY211286,0,0,0,0.35887229442596436,6,6,1
SPY211289,0,0,0,0.11218681186437607,7,10,0
SPY211290,0,1,1,0.6534500122070312,7,6,0
SPY211300,0,0,0,0.033001162111759186,6,10,0
SPY211302,0,0,0,0.04615040495991707,6,10,0
SPY211304,0,0,0,0.23661211133003235,7,10,0
SPY211306,0,1,1,0.729575514793396,6,6,1
SPY211307,0,0,0,0.151081383228302,6,10,0
SPY211309,0,0,0,0.208207368850708,6,10,0
SPY231713,0,0,0,0.06907860934734344,10,2,0
SPY231714,0,0,0,0.06965614855289459,10,2,0
SPY231715,0,0,0,0.10239797830581665,10,2,0
SPY231716,0,0,0,0.0851830393075943,10,10,1
SPY231717,0,1,1,0.5266576409339905,10,10,1
SPY231718,0,1,1,0.5327160358428955,10,10,1
SPY231719,0,1,1,0.7673794031143188,10,10,1
SPY231720,0,0,0,0.04208386316895485,10,10,1
SPY231721,0,0,0,0.030471067875623703,10,2,0
SPY231722,0,0,0,0.07227685302495956,10,2,0
SPY231723,0,1,1,0.730531632900238,10,10,1
SPY231724,0,1,1,0.7367477416992188,10,10,1
SPY231725,0,1,1,0.5418510437011719,10,6,0
SPY231726,0,0,0,0.4654664397239685,10,6,0
SPY231727,0,0,0,0.0839841216802597,10,2,0
SPY231728,0,0,0,0.12838347256183624,10,2,0
SPY231729,0,0,0,0.07830920070409775,10,2,0
SPY231730,0,0,0,0.0721977949142456,10,2,0
SPY231889,0,1,1,0.5689664483070374,2,6,0
SPY231890,0,0,0,0.39279067516326904,2,6,0
SPY231745,0,0,0,0.477742075920105,10,6,0
SPY231746,0,1,1,0.8068161010742188,10,10,1
SPY231747,0,1,1,0.8523658514022827,10,10,1
SPY211045,1,1,0,0.8468659520149231,0,6,0
SPY211046,1,1,0,0.7817863821983337,0,10,0
SPY211051,1,1,0,0.9492164254188538,2,6,0
SPY211063,1,1,0,0.9141011834144592,2,6,0
SPY211044,1,1,0,0.8820834159851074,2,6,0
SPY211047,1,1,0,0.9651192426681519,2,6,0
SPY231750,1,1,0,0.9739463925361633,10,6,0
SPY231751,1,1,0,0.9663392901420593,10,6,0
SPY231752,1,1,0,0.9852821230888367,10,10,1
SPY231753,1,1,0,0.9789896607398987,10,6,0
SPY231731,1,1,0,0.9781710505485535,10,6,0
SPY231732,1,1,0,0.9741259813308716,10,6,0
SPY231758,1,1,0,0.976911723613739,10,6,0
SPY231759,1,1,0,0.9664899706840515,10,6,0
