spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201963,0,0,0,7.024494834695361e-07,2,2,1
SPY201966,0,0,0,6.861249630674138e-07,2,10,0
SPY210636,0,0,0,8.206398547372373e-07,2,10,0
SPY210640,0,0,0,8.454212547803763e-07,2,10,0
SPY210641,0,0,0,2.086858188476981e-07,10,10,1
SPY210642,0,0,0,2.82651996030836e-07,10,2,0
SPY210696,0,0,0,2.263088028087168e-08,2,2,1
SPY210697,0,0,0,4.869226088999312e-08,2,2,1
SPY210698,0,0,0,4.9510017419152064e-08,2,2,1
SPY210699,0,0,0,4.2095777530448686e-08,2,2,1
SPY210705,0,0,0,7.063633233883593e-08,2,2,1
SPY210710,0,0,0,4.1452202026448504e-07,2,2,1
SPY210712,0,0,0,2.8869777679574327e-07,2,2,1
SPY210713,0,0,0,3.057065214306931e-07,2,2,1
SPY210714,0,0,0,8.415787533522234e-08,2,2,1
SPY210717,0,0,0,7.976103688633884e-08,2,2,1
SPY210718,0,0,0,1.528995738908634e-07,2,2,1
SPY210719,0,0,0,1.534285019033632e-07,2,2,1
SPY210720,0,0,0,1.23787145867027e-07,2,2,1
SPY210721,0,0,0,3.528364800331474e-07,2,2,1
SPY210722,0,0,0,2.2818237255251006e-07,2,2,1
SPY210723,0,0,0,2.254849277960602e-06,2,10,0
SPY210724,0,0,0,2.3398730775170407e-07,2,2,1
SPY210727,0,0,0,2.409139483461331e-07,2,2,1
SPY210728,0,0,0,1.531619773231796e-07,2,2,1
SPY222967,0,0,0,2.3521128241554834e-05,6,2,0
SPY222969,0,0,0,2.392903115833178e-05,6,10,0
SPY222977,0,0,0,2.0476149074966088e-05,6,2,0
SPY231711,0,0,0,3.613607259467244e-05,10,10,1
SPY231712,0,0,0,9.305617277277634e-05,10,10,1
SPY231735,0,0,0,1.3696055248146877e-05,10,10,1
SPY231736,0,0,0,1.1424120202718768e-05,10,10,1
SPY231737,0,0,0,4.193669155938551e-06,10,10,1
SPY231738,0,0,0,5.0219182412547525e-06,10,10,1
SPY231739,0,0,0,1.251863704965217e-05,10,10,1
SPY231740,0,0,0,1.5743371477583423e-05,10,10,1
SPY231780,0,0,0,0.000481114664580673,10,6,0
SPY231781,0,0,0,6.371377821778879e-05,10,2,0
SPY231782,0,0,0,0.00019446201622486115,10,10,1
SPY231783,0,0,0,0.00021411282068584114,10,10,1
SPY231784,0,0,0,0.00020749436225742102,10,10,1
SPY231785,0,0,0,0.00012999240425415337,10,10,1
SPY231786,0,0,0,0.00013115580077283084,10,2,0
