spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201149,0,0,0,4.0921233068758056e-10,4,2,0
SPY201151,0,0,0,2.1004495018295266e-11,4,2,0
SPY201176,0,0,0,3.145243440694223e-11,4,2,0
SPY201177,0,0,0,1.0802283512134636e-09,4,2,0
SPY201179,0,0,0,6.546225801012939e-12,4,2,0
SPY201193,0,0,0,3.359668376834435e-10,4,2,0
SPY201956,0,0,0,6.575710813194746e-06,2,2,1
SPY201965,0,0,0,6.246753855521092e-06,2,2,1
SPY202492,0,0,0,5.436128543839791e-12,4,2,0
SPY202499,0,0,0,3.139202092716786e-11,4,2,0
SPY210647,0,0,0,0.00011261799954809248,2,2,1
SPY210652,0,0,0,0.0005169259384274483,2,2,1
SPY210667,0,0,0,9.11382885533385e-05,2,2,1
SPY210668,0,0,0,0.0005577580304816365,2,2,1
SPY210669,0,0,0,2.2865364371682517e-05,2,2,1
SPY210672,0,0,0,8.056379556364845e-06,2,2,1
SPY210673,0,0,0,1.059434907801915e-05,2,2,1
SPY210674,0,0,0,2.622973443067167e-05,2,2,1
SPY210675,0,0,0,0.0003604030644055456,2,2,1
SPY210677,0,0,0,4.13498273701407e-05,2,2,1
SPY210678,0,0,0,6.112265054980526e-06,2,2,1
SPY210695,0,0,0,4.965762855135836e-05,2,2,1
SPY210700,0,0,0,2.3265282929341158e-12,2,2,1
SPY210715,0,0,0,0.0010287468321621418,2,2,1
SPY231655,0,0,0,2.0290233351261122e-06,10,2,0
SPY231656,0,0,0,1.2465173995224177e-06,10,2,0
SPY231657,0,0,0,1.898130722111091e-05,10,2,0
SPY231658,0,0,0,3.086968547449942e-07,10,2,0
SPY231659,0,0,0,1.78667028194468e-06,10,2,0
SPY231665,0,0,0,1.081269829228404e-06,10,2,0
SPY231666,0,0,0,8.839221976586487e-08,10,2,0
SPY231667,0,0,0,2.1736152433504685e-08,10,2,0
SPY231668,0,0,0,5.1925059807444995e-08,10,2,0
SPY231705,0,0,0,4.437565166881541e-06,10,2,0
SPY231706,0,0,0,1.4035622371011414e-06,10,2,0
SPY231707,0,0,0,1.316540760853968e-06,10,2,0
SPY231708,0,0,0,1.1918425570911495e-06,10,2,0
SPY231709,0,0,0,5.400523605203489e-06,10,2,0
SPY231710,0,0,0,4.43248109149863e-06,10,2,0
SPY231774,0,0,0,3.9285336242755875e-05,10,2,0
SPY231775,0,0,0,3.610458952607587e-05,10,2,0
SPY231776,0,0,0,7.674019197878579e-10,10,2,0
SPY231777,0,0,0,2.3684178813709877e-05,10,2,0
SPY231778,0,0,0,3.5060682421317324e-05,10,2,0
SPY231779,0,0,0,3.960563844884746e-05,10,2,0
SPY231794,0,0,0,1.4643849681306165e-05,10,2,0
SPY231796,0,0,0,6.67162676109001e-05,10,2,0
SPY231797,0,0,0,9.872073133010417e-05,10,2,0
SPY231798,0,0,0,0.000609148177318275,10,2,0
SPY231907,0,0,0,1.0361544809711631e-05,2,2,1
SPY231908,0,0,0,0.0006414781673811376,2,2,1
SPY231915,0,0,0,8.450725727016106e-05,2,2,1
SPY231916,0,0,0,1.8457109035807662e-05,2,2,1
SPY232832,0,0,0,4.81973211208242e-06,2,2,1
SPY232833,0,0,0,4.012269982922589e-06,2,2,1
SPY232834,0,0,0,0.0006117728189565241,2,2,1
SPY232835,0,0,0,0.00024430127814412117,2,2,1
SPY201169,0,0,0,0.001613776315934956,2,2,1
SPY202506,0,0,0,0.0010669438634067774,2,2,1
SPY202509,0,0,0,0.0010839883470907807,2,2,1
SPY202514,0,0,0,0.000844258931465447,2,2,1
SPY210676,0,0,0,0.05590194836258888,2,2,1
SPY210679,0,0,0,0.09267057478427887,2,2,1
SPY210680,0,0,0,0.1011606827378273,2,2,1
SPY210683,0,0,0,0.07438991218805313,2,2,1
SPY211262,0,0,0,0.06495016813278198,6,2,0
SPY211273,0,0,0,0.0001044596720021218,6,2,0
SPY211277,0,0,0,7.645016012247652e-05,6,2,0
SPY211311,0,0,0,0.200142502784729,6,2,0
SPY231695,1,1,0,0.7499463558197021,10,10,1
SPY231696,1,1,0,0.7792635560035706,10,6,0
SPY231703,1,1,0,0.7741783261299133,10,6,0
SPY231704,1,1,0,0.7833974957466125,10,6,0
SPY231669,1,1,0,0.9319042563438416,10,6,0
SPY231670,1,1,0,0.9305312633514404,10,6,0
SPY231697,1,1,0,0.8388384580612183,10,6,0
SPY231698,1,1,0,0.8811012506484985,10,6,0
SPY201150,1,1,0,0.9882900714874268,4,10,0
SPY201152,1,1,0,0.8997029662132263,4,6,0
SPY201157,1,1,0,0.9809158444404602,4,6,0
SPY201158,1,1,0,0.9920834302902222,4,10,0
SPY231699,1,1,0,0.9182738661766052,10,6,0
SPY231700,1,1,0,0.7661821246147156,10,6,0
SPY231701,1,1,0,0.9250442981719971,10,6,0
SPY231702,1,1,0,0.8398910760879517,10,6,0
SPY231911,1,1,0,0.9242791533470154,0,10,0
SPY231912,1,1,0,0.8390847444534302,0,10,0
SPY200806,1,1,0,0.9840996265411377,6,6,1
SPY200807,1,1,0,0.9888318777084351,6,6,1
SPY231660,1,1,0,0.9926925897598267,10,6,0
SPY231661,1,1,0,0.994196891784668,10,6,0
SPY231662,1,1,0,0.9502992630004883,10,6,0
SPY231663,1,1,0,0.939689576625824,10,6,0
SPY231664,1,1,0,0.9142777323722839,10,6,0
