spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY211052,0,0,0,4.8681326331179164e-11,0,2,0
SPY211053,0,0,0,7.895736842122858e-10,2,2,1
SPY211057,0,0,0,4.038124501448692e-08,2,2,1
SPY211058,0,0,0,1.3584205982297703e-10,0,2,0
SPY212584,0,0,0,6.014009613863891e-06,6,2,0
SPY212585,0,0,0,3.8136752777973015e-07,6,2,0
SPY212586,0,0,0,6.735635543009266e-05,6,2,0
SPY212587,0,0,0,4.205228520959281e-08,6,2,0
SPY201153,0,0,0,3.1806007427803706e-07,7,2,0
SPY201162,0,0,0,2.736253918556031e-06,7,2,0
SPY211299,0,0,0,0.00033119492582045496,7,2,0
SPY211303,0,0,0,0.09467637538909912,7,2,0
SPY212588,0,0,0,0.008156822994351387,0,2,0
SPY212589,0,0,0,0.12597382068634033,0,2,0
SPY211068,0,0,0,0.06446300446987152,2,2,1
SPY211073,0,0,0,0.11039601266384125,2,2,1
SPY181699,1,1,0,0.6742879748344421,6,10,0
SPY192310,1,1,0,0.8448007702827454,6,10,0
SPY201163,1,1,0,0.8430638313293457,6,2,0
SPY211048,1,0,-1,0.4985029399394989,2,2,1
SPY211062,1,1,0,0.6024080514907837,2,2,1
SPY211138,1,1,0,0.6858198046684265,8,10,0
SPY211163,1,0,-1,0.05403514578938484,6,2,0
SPY211168,1,0,-1,0.02400178089737892,6,2,0
SPY211169,1,0,-1,0.024380220100283623,6,2,0
SPY211170,1,1,0,0.8946347236633301,6,10,0
SPY211172,1,0,-1,0.02543487213551998,6,2,0
SPY211173,1,0,-1,0.028559044003486633,6,2,0
SPY211174,1,1,0,0.8346049189567566,6,10,0
SPY211177,1,0,-1,0.026171887293457985,6,2,0
SPY211178,1,0,-1,0.07824479788541794,6,2,0
SPY211180,1,0,-1,0.21595464646816254,6,2,0
SPY211181,1,0,-1,0.03353387862443924,6,2,0
SPY211182,1,1,0,0.9321162104606628,6,10,0
SPY211183,1,1,0,0.889570415019989,6,10,0
SPY211184,1,0,-1,0.044572144746780396,6,2,0
SPY212710,1,1,0,0.9751811623573303,6,10,0
SPY212711,1,1,0,0.7950602173805237,6,10,0
SPY212712,1,1,0,0.9864962697029114,6,10,0
SPY212713,1,1,0,0.9860261082649231,6,10,0
SPY212714,1,0,-1,0.04504162073135376,6,2,0
SPY212715,1,1,0,0.7106998562812805,6,10,0
SPY212716,1,1,0,0.9066827297210693,6,10,0
SPY212717,1,1,0,0.8575680255889893,6,10,0
SPY212718,1,0,-1,0.05734572559595108,6,2,0
SPY212719,1,1,0,0.9926459789276123,6,10,0
SPY212756,1,1,0,0.9133737087249756,6,10,0
SPY212758,1,1,0,0.9110556840896606,6,10,0
SPY212759,1,1,0,0.7463876008987427,6,10,0
SPY211049,1,1,0,0.8980664610862732,0,10,0
SPY211050,1,1,0,0.8974283933639526,0,10,0
SPY211054,1,1,0,0.8187570571899414,2,10,0
SPY211055,1,1,0,0.934232771396637,2,10,0
SPY231679,1,1,0,0.7421528697013855,10,10,1
SPY231680,1,1,0,0.8474063873291016,10,10,1
SPY231675,1,1,0,0.8487326502799988,10,10,1
SPY231676,1,1,0,0.8010801672935486,10,10,1
SPY231677,1,1,0,0.8307271599769592,10,10,1
SPY231678,1,1,0,0.8420001864433289,10,10,1
SPY211056,1,1,0,0.8809713125228882,0,2,0
SPY211064,1,1,0,0.8866543173789978,0,10,0
SPY231681,1,1,0,0.9941483736038208,10,10,1
SPY231682,1,1,0,0.8804087042808533,10,10,1
SPY231671,1,1,0,0.965315580368042,10,10,1
SPY231672,1,1,0,0.9730557799339294,10,10,1
SPY231673,1,1,0,0.9743005633354187,10,10,1
SPY231674,1,1,0,0.9624582529067993,10,10,1
SPY211059,1,1,0,0.9181843996047974,2,10,0
SPY211060,1,1,0,0.9371582269668579,2,10,0
SPY201952,1,1,0,0.9950029253959656,6,10,0
SPY201962,1,1,0,0.9957553148269653,6,10,0
SPY210649,1,1,0,0.9982805252075195,3,10,0
SPY212768,1,1,0,0.8946287631988525,3,10,0
SPY200468,1,1,0,0.9875501990318298,6,10,0
SPY200474,1,1,0,0.9920603036880493,6,10,0
SPY201953,1,1,0,0.9925863146781921,3,10,0
SPY201961,1,1,0,0.9940428137779236,6,10,0
SPY210637,1,1,0,0.9928802847862244,6,10,0
SPY210654,1,1,0,0.9983483552932739,3,10,0
SPY212760,1,1,0,0.9967637062072754,6,10,0
SPY212762,1,1,0,0.9975571632385254,3,10,0
SPY212763,1,1,0,0.9960594177246094,3,10,0
SPY212764,1,1,0,0.9923709630966187,3,10,0
SPY212765,1,1,0,0.9969724416732788,6,10,0
SPY212766,1,1,0,0.9993731379508972,3,10,0
SPY212767,1,1,0,0.9905993342399597,6,10,0
SPY212769,1,1,0,0.990354061126709,6,10,0
