spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201963,0,0,0,1.9349391422451845e-08,2,2,1
SPY201966,0,0,0,2.032716750477448e-08,2,2,1
SPY210636,0,0,0,1.0120499105426006e-08,2,2,1
SPY210640,0,0,0,1.668040994218245e-08,2,2,1
SPY210641,0,0,0,1.2134670157593064e-07,10,2,0
SPY210642,0,0,0,5.6251792557304725e-06,10,2,0
SPY210696,0,0,0,3.762751293834299e-05,2,2,1
SPY210697,0,0,0,6.150620174594223e-05,2,2,1
SPY210698,0,0,0,0.0005545316962525249,2,2,1
SPY210699,0,0,0,7.184676360338926e-05,2,2,1
SPY210705,0,0,0,0.0005100881680846214,2,2,1
SPY210710,0,0,0,0.0001479495840612799,2,2,1
SPY210712,0,0,0,0.0002545667521189898,2,2,1
SPY210713,0,0,0,0.0002872144978027791,2,2,1
SPY210714,0,0,0,0.000523439550306648,2,2,1
SPY210717,0,0,0,0.0029084645211696625,2,2,1
SPY210718,0,0,0,0.0010159279918298125,2,2,1
SPY210719,0,0,0,0.0001591918698977679,2,2,1
SPY210720,0,0,0,0.000923968618735671,2,2,1
SPY210721,0,0,0,0.0015004969900473952,2,2,1
SPY210722,0,0,0,0.0038667158223688602,2,2,1
SPY210723,0,0,0,4.380187590413698e-07,2,2,1
SPY210724,0,0,0,0.00047922940575517714,2,2,1
SPY210727,0,0,0,0.0047687953338027,2,2,1
SPY210728,0,0,0,0.009904855862259865,2,2,1
SPY222967,0,0,0,9.341775921711815e-07,6,2,0
SPY222969,0,0,0,1.891384613372793e-07,6,2,0
SPY222977,0,0,0,2.810882733683684e-06,6,2,0
SPY231711,0,0,0,4.2807521822396666e-05,10,2,0
SPY231712,0,0,0,2.3922300897538662e-05,10,2,0
SPY231735,0,0,0,1.2448076631699223e-05,10,2,0
SPY231736,0,0,0,2.1457837647176348e-05,10,2,0
SPY231737,0,0,0,0.0008043437846936285,10,2,0
SPY231738,0,0,0,0.0009725259151309729,10,2,0
SPY231739,0,0,0,0.0001440510677639395,10,2,0
SPY231740,0,0,0,0.0001049064812832512,10,2,0
SPY231780,0,0,0,1.921650927272367e-08,10,2,0
SPY231781,0,0,0,0.0009185619419440627,10,2,0
SPY231782,0,0,0,7.425765215884894e-05,10,2,0
SPY231783,0,0,0,0.00012147874804213643,10,2,0
SPY231784,0,0,0,0.00041286973282694817,10,2,0
SPY231785,0,0,0,0.0003255382471252233,10,2,0
SPY231786,0,0,0,0.0009430696372874081,10,2,0
SPY231787,0,0,0,0.00023863406386226416,10,2,0
SPY231788,0,0,0,0.0006716237403452396,10,2,0
SPY231789,0,0,0,0.0003811494680121541,10,2,0
SPY231790,0,0,0,0.002901748986914754,10,2,0
SPY231791,0,0,0,0.0028437019791454077,10,2,0
SPY231792,0,0,0,0.04219529405236244,10,2,0
SPY231793,0,0,0,0.0027932552620768547,10,2,0
SPY231795,0,0,0,0.0017859897343441844,10,2,0
