spygen_code,label,prediction,residual,domain_true,domain_pred,domain_correct
SPY201957,0,0,0,2,2,1
SPY201964,0,0,0,2,2,1
SPY210701,0,0,0,2,2,1
SPY210702,0,0,0,2,2,1
SPY210703,0,0,0,2,2,1
SPY210704,0,0,0,2,2,1
SPY210706,0,0,0,2,2,1
SPY210707,0,0,0,2,2,1
SPY210708,0,0,0,2,2,1
SPY210709,0,0,0,2,2,1
SPY210711,0,0,0,2,2,1
SPY210716,0,0,0,2,2,1
SPY210725,0,0,0,2,2,1
SPY210726,0,0,0,2,2,1
SPY231748,0,0,0,10,10,1
SPY231749,0,0,0,10,10,1
SPY231754,0,0,0,10,2,0
SPY231755,0,0,0,10,2,0
SPY231756,0,0,0,10,2,0
SPY231757,0,0,0,10,2,0
SPY231897,0,0,0,0,10,0
SPY231898,0,0,0,0,10,0
SPY201159,0,0,0,7,10,0
SPY201160,0,0,0,5,10,0
SPY201161,0,0,0,4,10,0
SPY201166,0,0,0,7,10,0
SPY201167,0,0,0,5,10,0
SPY201171,0,0,0,5,10,0
SPY201180,0,0,0,7,10,0
SPY201186,0,0,0,7,10,0
SPY201190,0,0,0,4,10,0
SPY202494,0,0,0,5,10,0
SPY210643,0,0,0,2,2,1
SPY210644,0,0,0,2,2,1
SPY210648,0,0,0,2,10,0
SPY210651,0,0,0,10,2,0
SPY210658,0,0,0,2,2,1
SPY210659,0,0,0,2,2,1
SPY210663,0,0,0,2,2,1
SPY210664,0,0,0,2,10,0
SPY210665,0,0,0,2,2,1
SPY210666,0,0,0,2,2,1
SPY210670,0,0,0,2,2,1
SPY210671,0,0,0,2,2,1
SPY210689,0,0,0,2,2,1
SPY210693,0,0,0,2,2,1
SPY211263,0,0,0,7,10,0
SPY211266,0,0,0,2,10,0
SPY211275,0,0,0,6,10,0
SPY211279,0,0,0,6,10,0
SPY211280,0,0,0,2,10,0
SPY211282,0,0,0,6,10,0
SPY211284,0,0,0,6,10,0
SPY211285,0,0,0,2,10,0
SPY211286,0,0,0,6,10,0
SPY211289,0,0,0,7,10,0
SPY211290,0,0,0,7,2,0
SPY211300,0,0,0,6,6,1
SPY211302,0,0,0,6,6,1
SPY211304,0,0,0,7,10,0
SPY211306,0,0,0,6,10,0
SPY211307,0,0,0,6,10,0
SPY211309,0,0,0,6,10,0
SPY231713,0,0,0,10,2,0
SPY231714,0,0,0,10,2,0
SPY231715,0,0,0,10,2,0
SPY231716,0,0,0,10,2,0
SPY231717,0,0,0,10,2,0
SPY231718,0,0,0,10,2,0
SPY231719,0,0,0,10,10,1
SPY231720,0,0,0,10,10,1
SPY231721,0,0,0,10,2,0
SPY231722,0,0,0,10,2,0
SPY231723,0,0,0,10,10,1
SPY231724,0,0,0,10,10,1
SPY231725,0,0,0,10,10,1
SPY231726,0,0,0,10,10,1
SPY231727,0,0,0,10,2,0
SPY231728,0,0,0,10,2,0
SPY231729,0,0,0,10,2,0
SPY231730,0,0,0,10,2,0
SPY231889,0,0,0,2,10,0
SPY231890,0,0,0,2,10,0
SPY231745,0,0,0,10,10,1
SPY231746,0,0,0,10,10,1
SPY231747,0,0,0,10,10,1
SPY211045,1,0,1,0,10,0
SPY211046,1,0,1,0,10,0
SPY211051,1,1,0,2,10,0
SPY211063,1,1,0,2,10,0
SPY211044,1,0,1,2,10,0
SPY211047,1,0,1,2,10,0
SPY231750,3,4,-1,10,10,1
SPY231751,3,4,-1,10,2,0
SPY231752,3,4,-1,10,6,0
SPY231753,3,4,-1,10,10,1
SPY231731,4,4,0,10,6,0
SPY231732,4,4,0,10,6,0
SPY231758,4,4,0,10,6,0
SPY231759,4,4,0,10,6,0
