spygen_code,label,prediction,residual
SPY201168,0,0,0
SPY201170,0,0,0
SPY231669,2,1,1
SPY231670,2,1,1
SPY231671,2,1,1
SPY231672,2,1,1
SPY231673,2,1,1
SPY231674,2,1,1
SPY231681,2,1,1
SPY231682,2,1,1
SPY231683,2,1,1
SPY231684,2,1,1
SPY231693,1,0,1
SPY231694,1,0,1
SPY231695,1,0,1
SPY231696,1,0,1
SPY231707,0,0,0
SPY231708,0,0,0
SPY231709,0,0,0
SPY231710,0,0,0
SPY231713,0,0,0
SPY231714,0,0,0
SPY231715,0,0,0
SPY231716,0,0,0
SPY231758,4,0,4
SPY231759,4,0,4
SPY231770,0,0,0
SPY231771,0,0,0
SPY231778,0,0,0
SPY231779,0,0,0
SPY231780,0,0,0
SPY231781,0,0,0
