spygen_code,label,prediction,residual
SPY231658,0,2,-2
SPY231659,0,1,-1
SPY231660,4,2,2
SPY231661,4,2,2
SPY231662,4,1,3
SPY231663,4,1,3
SPY231664,4,1,3
SPY231665,0,2,-2
SPY231666,0,2,-2
SPY231675,1,2,-1
SPY231676,1,2,-1
SPY231685,2,2,0
SPY231686,2,2,0
SPY231687,2,2,0
SPY231688,2,2,0
SPY231691,1,0,1
SPY231692,1,0,1
SPY231711,0,0,0
SPY231712,0,0,0
SPY231727,0,0,0
SPY231728,0,0,0
SPY231729,0,0,0
SPY231730,0,0,0
SPY231746,0,0,0
SPY231747,0,0,0
SPY231762,0,0,0
SPY231763,0,0,0
SPY231764,0,0,0
SPY231776,0,0,0
SPY231777,0,0,0
