spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY211052,0,0,0,9.112815860135015e-06,0,2,0
SPY211053,0,0,0,0.002042728941887617,2,2,1
SPY211057,0,0,0,0.0007248481852002442,2,2,1
SPY211058,0,0,0,0.00013060207129456103,0,2,0
SPY212584,0,0,0,0.0003525800711940974,6,2,0
SPY212585,0,0,0,2.906580630224198e-05,6,2,0
SPY212586,0,0,0,0.002043816028162837,6,2,0
SPY212587,0,0,0,0.004223507829010487,6,2,0
SPY201153,0,0,0,0.00048550276551395655,7,2,0
SPY201162,0,0,0,0.0015915835974738002,7,2,0
SPY211299,0,0,0,0.18418867886066437,7,2,0
SPY211303,0,0,0,0.1989368200302124,7,2,0
SPY212588,0,0,0,0.2637268006801605,0,10,0
SPY212589,0,1,1,0.6321325302124023,0,10,0
SPY211068,0,1,1,0.7004906535148621,2,10,0
SPY211073,0,1,1,0.7539214491844177,2,10,0
SPY181699,1,1,0,0.8936895728111267,6,10,0
SPY192310,1,1,0,0.9224700927734375,6,10,0
SPY201163,1,1,0,0.6653221845626831,6,10,0
SPY211048,1,1,0,0.8164998292922974,2,10,0
SPY211062,1,1,0,0.7989224791526794,2,10,0
SPY211138,1,1,0,0.8350736498832703,8,10,0
SPY211163,1,0,-1,0.443942129611969,6,10,0
SPY211168,1,0,-1,0.29027488827705383,6,10,0
SPY211169,1,0,-1,0.27862030267715454,6,10,0
SPY211170,1,1,0,0.8907041549682617,6,10,0
SPY211172,1,0,-1,0.2792774736881256,6,10,0
SPY211173,1,0,-1,0.29943379759788513,6,10,0
SPY211174,1,1,0,0.8257949352264404,6,10,0
SPY211177,1,0,-1,0.2814512252807617,6,10,0
SPY211178,1,0,-1,0.49750351905822754,6,10,0
SPY211180,1,0,-1,0.3720894455909729,6,10,0
SPY211181,1,0,-1,0.30049288272857666,6,10,0
SPY211182,1,1,0,0.7433348298072815,6,10,0
SPY211183,1,1,0,0.9194605350494385,6,10,0
SPY211184,1,0,-1,0.347068727016449,6,10,0
SPY212710,1,1,0,0.8794687986373901,6,10,0
SPY212711,1,1,0,0.9288390874862671,6,10,0
SPY212712,1,1,0,0.8982056975364685,6,10,0
SPY212713,1,1,0,0.9689220190048218,6,10,0
SPY212714,1,0,-1,0.3486878573894501,6,10,0
SPY212715,1,1,0,0.9265808463096619,6,10,0
SPY212716,1,1,0,0.9589662551879883,6,10,0
SPY212717,1,1,0,0.9480489492416382,6,10,0
SPY212718,1,0,-1,0.38830313086509705,6,10,0
SPY212719,1,1,0,0.8161706924438477,6,10,0
SPY212756,1,1,0,0.9607832431793213,6,10,0
SPY212758,1,1,0,0.9541976451873779,6,10,0
SPY212759,1,1,0,0.9070705771446228,6,10,0
SPY211049,1,1,0,0.6638569235801697,0,10,0
SPY211050,1,1,0,0.7020217776298523,0,10,0
SPY211054,1,1,0,0.9334040880203247,2,10,0
SPY211055,1,1,0,0.9608018398284912,2,10,0
SPY231679,1,1,0,0.5487966537475586,10,10,1
SPY231680,1,1,0,0.7332184910774231,10,10,1
SPY231675,1,1,0,0.7367839813232422,10,10,1
SPY231676,1,1,0,0.7011833190917969,10,10,1
SPY231677,1,1,0,0.7383477091789246,10,10,1
SPY231678,1,1,0,0.7484461069107056,10,10,1
SPY211056,1,1,0,0.7298445701599121,0,10,0
SPY211064,1,1,0,0.7914708256721497,0,10,0
SPY231681,1,0,-1,0.46882495284080505,10,10,1
SPY231682,1,1,0,0.8055735230445862,10,10,1
SPY231671,1,1,0,0.9558212161064148,10,10,1
SPY231672,1,1,0,0.9673206806182861,10,10,1
SPY231673,1,1,0,0.9486380219459534,10,10,1
SPY231674,1,1,0,0.9276506900787354,10,10,1
SPY211059,1,1,0,0.9754303097724915,2,10,0
SPY211060,1,1,0,0.9779284000396729,2,10,0
SPY201952,1,1,0,0.9960551261901855,6,10,0
SPY201962,1,1,0,0.996880292892456,6,10,0
SPY210649,1,1,0,0.997831404209137,3,10,0
SPY212768,1,1,0,0.9752362966537476,3,10,0
SPY200468,1,1,0,0.9916284084320068,6,10,0
SPY200474,1,1,0,0.9472301006317139,6,10,0
SPY201953,1,1,0,0.9945206642150879,3,10,0
SPY201961,1,1,0,0.9961981177330017,6,10,0
SPY210637,1,1,0,0.9954125285148621,6,10,0
SPY210654,1,1,0,0.9978737831115723,3,10,0
SPY212760,1,1,0,0.997077465057373,6,10,0
SPY212762,1,1,0,0.9974660873413086,3,10,0
SPY212763,1,1,0,0.9961916208267212,3,10,0
SPY212764,1,1,0,0.9931315779685974,3,10,0
SPY212765,1,1,0,0.9971681237220764,6,10,0
SPY212766,1,1,0,0.9986672401428223,3,10,0
SPY212767,1,1,0,0.994198203086853,6,10,0
SPY212769,1,1,0,0.9941076040267944,6,10,0
