spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY201963,0,0,0,6.440604011004325e-06,2,10,0
SPY201966,0,0,0,4.531491867965087e-06,2,10,0
SPY210636,0,0,0,1.2670483329202398e-06,2,10,0
SPY210640,0,0,0,1.8586121086627827e-06,2,10,0
SPY210641,0,0,0,1.1748757970053703e-05,10,10,1
SPY210642,0,0,0,0.002581231761723757,10,10,1
SPY210696,0,0,0,0.1597374677658081,2,10,0
SPY210697,0,0,0,0.13969938457012177,2,10,0
SPY210698,0,0,0,0.27022746205329895,2,10,0
SPY210699,0,0,0,0.14485099911689758,2,10,0
SPY210705,0,0,0,0.26135480403900146,2,10,0
SPY210710,0,0,0,0.09543120115995407,2,10,0
SPY210712,0,0,0,0.12068828195333481,2,10,0
SPY210713,0,0,0,0.126108780503273,2,10,0
SPY210714,0,0,0,0.27129995822906494,2,10,0
SPY210717,0,0,0,0.29061922430992126,2,10,0
SPY210718,0,0,0,0.2605989873409271,2,10,0
SPY210719,0,0,0,0.17528662085533142,2,10,0
SPY210720,0,0,0,0.2977345585823059,2,10,0
SPY210721,0,0,0,0.17558050155639648,2,10,0
SPY210722,0,0,0,0.2604547441005707,2,10,0
SPY210723,0,0,0,1.3842743101122323e-05,2,10,0
SPY210724,0,0,0,0.2543615996837616,2,10,0
SPY210727,0,0,0,0.2880190312862396,2,10,0
SPY210728,0,0,0,0.31875982880592346,2,10,0
SPY222967,0,0,0,0.0002223243354819715,6,10,0
SPY222969,0,0,0,3.306490179966204e-05,6,10,0
SPY222977,0,0,0,0.0010305237956345081,6,10,0
SPY231711,0,0,0,0.0013433170970529318,10,10,1
SPY231712,0,0,0,0.0003603778313845396,10,10,1
SPY231735,0,0,0,0.001199393067508936,10,10,1
SPY231736,0,0,0,0.0019257253734394908,10,10,1
SPY231737,0,0,0,0.08840193599462509,10,10,1
SPY231738,0,0,0,0.061341844499111176,10,10,1
SPY231739,0,0,0,0.012356358580291271,10,10,1
SPY231740,0,0,0,0.008962410502135754,10,10,1
SPY231780,0,0,0,2.491292718787008e-07,10,10,1
SPY231781,0,0,0,0.0971372053027153,10,10,1
SPY231782,0,0,0,0.010215763933956623,10,10,1
SPY231783,0,0,0,0.015382722951471806,10,10,1
SPY231784,0,0,0,0.038770053535699844,10,10,1
SPY231785,0,0,0,0.04509225860238075,10,10,1
SPY231786,0,0,0,0.14082998037338257,10,10,1
SPY231787,0,0,0,0.03467053174972534,10,10,1
SPY231788,0,0,0,0.04600398987531662,10,10,1
SPY231789,0,0,0,0.040120627731084824,10,10,1
SPY231790,0,0,0,0.14969956874847412,10,10,1
SPY231791,0,0,0,0.13273566961288452,10,10,1
SPY231792,0,0,0,0.3982222080230713,10,10,1
SPY231793,0,0,0,0.11705208569765091,10,10,1
SPY231795,0,0,0,0.07432077825069427,10,10,1
SPY231895,0,0,0,5.5844222515588626e-05,2,10,0
SPY231896,0,0,0,6.323890556814149e-05,2,10,0
SPY231903,0,0,0,4.4095573684899136e-05,0,2,0
SPY231904,0,0,0,0.00022468056704383343,0,10,0
SPY231905,0,0,0,0.0001904835953610018,2,10,0
SPY231906,0,0,0,0.06428781896829605,2,10,0
SPY232830,0,0,0,0.00031118106562644243,2,10,0
SPY232831,0,0,0,0.06613535434007645,2,10,0
SPY201168,0,0,0,0.011469688266515732,10,10,1
SPY201170,0,0,0,0.029460690915584564,10,10,1
SPY201172,0,0,0,0.12348680943250656,6,10,0
SPY201185,0,0,0,0.10423122346401215,6,10,0
SPY210645,0,0,0,0.0020547034218907356,2,10,0
SPY210657,0,0,0,0.44345587491989136,2,10,0
SPY210661,0,0,0,0.49930644035339355,2,10,0
SPY210662,0,0,0,0.44525888562202454,2,10,0
SPY211268,0,0,0,0.1986464112997055,6,10,0
SPY211274,0,0,0,0.13708023726940155,2,10,0
SPY211278,0,1,1,0.6001847982406616,2,10,0
SPY211305,0,0,0,0.30579185485839844,6,10,0
SPY231891,0,0,0,0.17314091324806213,0,2,0
SPY231892,0,0,0,0.23754002153873444,0,2,0
SPY231741,0,1,1,0.5368136167526245,10,10,1
SPY231742,0,1,1,0.5192609429359436,10,10,1
SPY231743,0,1,1,0.5425741672515869,10,10,1
SPY231744,0,1,1,0.5558433532714844,10,10,1
SPY231865,0,0,0,0.4427313506603241,10,10,1
SPY231870,0,1,1,0.8798094391822815,10,10,1
SPY231871,0,0,0,0.43607404828071594,10,10,1
SPY231873,0,1,1,0.6982836127281189,10,10,1
SPY231874,0,1,1,0.7155814170837402,10,10,1
SPY231877,0,1,1,0.7926575541496277,10,10,1
SPY231878,0,1,1,0.77091383934021,10,10,1
SPY231909,1,1,0,0.9777920246124268,0,6,0
SPY231910,1,1,0,0.8292118310928345,0,10,0
SPY210650,1,1,0,0.9595814347267151,2,10,0
SPY201216,1,1,0,0.9995526671409607,1,6,0
SPY201263,1,1,0,0.9986977577209473,1,6,0
SPY210655,1,1,0,0.9875538349151611,2,6,0
SPY210656,1,1,0,0.9235254526138306,2,10,0
SPY210660,1,1,0,0.8892115354537964,2,10,0
SPY231733,1,1,0,0.9996002316474915,10,6,0
SPY231734,1,1,0,0.9436869621276855,10,10,1
SPY222970,1,1,0,0.9976898431777954,6,6,1
SPY222972,1,1,0,0.9974767565727234,6,6,1
SPY222973,1,1,0,0.9876732230186462,6,6,1
SPY222974,1,1,0,0.9962671399116516,6,6,1
SPY181149,1,1,0,0.9906625151634216,6,6,1
SPY181150,1,1,0,0.992340087890625,6,6,1
SPY231893,1,1,0,0.9821911454200745,0,6,0
SPY231894,1,1,0,0.985144853591919,0,6,0
SPY201175,1,1,0,0.9950435161590576,4,6,0
SPY201191,1,1,0,0.9996799230575562,4,6,0
SPY202496,1,1,0,0.9997604489326477,4,6,0
SPY202498,1,1,0,0.9996384382247925,4,6,0
