spygen_code,label,prediction,residual,prob_pos,domain_true,domain_pred,domain_correct
SPY231762,0,0,0,1.4364684830070473e-05,10,2,0
SPY231763,0,0,0,1.077328033716185e-05,10,2,0
SPY231764,0,0,0,3.93068439734634e-05,10,2,0
SPY231765,0,0,0,1.2944352420163341e-05,10,2,0
SPY231766,0,0,0,0.00011538393300725147,10,2,0
SPY231767,0,0,0,0.0016203452832996845,10,2,0
SPY231768,0,0,0,0.0006336512160487473,10,2,0
SPY231769,0,0,0,0.0006337937084026635,10,2,0
SPY231770,0,0,0,6.626210233662277e-05,10,2,0
SPY231771,0,0,0,3.0537441464417725e-09,10,2,0
SPY231772,0,0,0,8.762616198509932e-05,10,2,0
SPY231773,0,0,0,4.749069194076583e-05,10,2,0
SPY231899,0,0,0,0.00010830559040186927,0,2,0
SPY231900,0,0,0,7.890797860454768e-05,0,2,0
SPY231901,0,0,0,1.5083332982612774e-06,2,2,1
SPY231902,0,0,0,2.0095196759939427e-06,2,10,0
SPY223325,0,0,0,0.0001633828942431137,9,10,0
SPY223333,0,0,0,0.00019529966812115163,9,10,0
SPY224252,0,0,0,9.419537673238665e-05,9,10,0
SPY224256,0,0,0,5.269874236546457e-05,9,10,0
SPY201164,0,0,0,0.008700747042894363,2,10,0
SPY201958,0,0,0,1.2667880582739599e-05,6,2,0
SPY202493,0,0,0,0.018406324088573456,2,10,0
SPY202510,0,0,0,0.10232597589492798,2,2,1
SPY202515,0,0,0,0.005293776281177998,2,10,0
SPY210646,0,0,0,3.607069083955139e-05,6,2,0
SPY210681,0,0,0,0.3170125186443329,2,10,0
SPY210682,0,0,0,0.3080763816833496,2,10,0
SPY210684,0,0,0,0.3335213363170624,2,10,0
SPY210685,0,0,0,0.11142487078905106,2,2,1
SPY210686,0,0,0,0.2886058986186981,2,10,0
SPY210687,0,0,0,0.28432467579841614,2,10,0
SPY210688,0,0,0,0.30150148272514343,2,10,0
SPY210690,0,0,0,0.3220461308956146,2,10,0
SPY210691,0,0,0,0.3347529172897339,2,10,0
SPY210692,0,0,0,0.2919427156448364,2,10,0
SPY210694,0,0,0,0.29190969467163086,2,10,0
SPY211301,0,0,0,0.00676720542833209,6,2,0
SPY211310,0,0,0,0.05532810837030411,6,2,0
SPY231885,0,0,0,0.02793976105749607,0,2,0
SPY231886,0,0,0,0.05787993222475052,0,10,0
SPY211069,0,0,0,0.08696902543306351,0,2,0
SPY211070,0,0,0,0.1505647599697113,0,10,0
SPY211071,0,0,0,0.31381237506866455,2,10,0
SPY211072,0,0,0,0.3188570439815521,2,10,0
SPY231691,1,1,0,0.6411563754081726,10,10,1
SPY231692,1,1,0,0.6755668520927429,10,10,1
SPY231693,1,1,0,0.7668416500091553,10,6,0
SPY231694,1,1,0,0.7478082776069641,10,10,1
SPY231913,1,1,0,0.7822466492652893,2,6,0
SPY231914,1,1,0,0.7732596397399902,2,6,0
SPY201239,1,1,0,0.8664953112602234,6,6,1
SPY201241,1,1,0,0.8761712312698364,6,6,1
SPY201174,1,1,0,0.930461585521698,4,6,0
SPY201181,1,1,0,0.9588200449943542,4,6,0
SPY201187,1,1,0,0.9494843482971191,4,6,0
SPY201192,1,1,0,0.9335768222808838,4,6,0
SPY201198,1,1,0,0.9517392516136169,4,6,0
SPY202491,1,1,0,0.8500707745552063,4,6,0
SPY202495,1,1,0,0.9527953267097473,4,6,0
SPY202500,1,1,0,0.9554293751716614,4,6,0
SPY231683,1,1,0,0.8438849449157715,10,10,1
SPY231684,1,1,0,0.8549328446388245,10,10,1
SPY231685,1,1,0,0.8518428802490234,10,10,1
SPY231686,1,1,0,0.8405333161354065,10,10,1
SPY231687,1,1,0,0.8387376070022583,10,10,1
SPY231688,1,1,0,0.8360224962234497,10,10,1
SPY231689,1,1,0,0.8600234985351562,10,10,1
SPY231690,1,1,0,0.8881418108940125,10,6,0
SPY231760,1,1,0,0.9109690189361572,10,6,0
SPY231761,1,1,0,0.9035249948501587,10,6,0
SPY231887,1,1,0,0.9946069121360779,2,6,0
SPY231888,1,1,0,0.9939631819725037,2,6,0
